"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/flowset_id","_source/netflow/l4_src_port","_source/netflow/last_switched","_source/netflow/ipv4_dst_addr","_source/netflow/first_switched","_source/netflow/version","_source/netflow/protocol","_source/netflow/output_snmp","_source/netflow/in_bytes","_source/netflow/flow_seq_num","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/input_snmp","_source/netflow/ip_protocol_version","_source/netflow/in_pkts","_source/host","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
2018-04-05 12:50:01,26,1024,59472,2018-04-05 12:47:26,"160.153.129.202",2018-04-05 12:45:05,9,6,0,3470,227,80,"192.168.1.108",0,4,34,"127.0.0.1",NA,NA,0
2018-04-05 12:50:01,27,1024,43338,2018-04-05 12:44:15,"192.168.1.1",2018-04-05 12:36:30,9,6,0,3802,214,80,"192.168.1.108",0,4,33,"127.0.0.1",NA,NA,0
2018-04-05 12:50:01,26,1024,59474,2018-04-05 12:47:26,"160.153.129.202",2018-04-05 12:45:05,9,6,0,1536,227,80,"192.168.1.108",0,4,21,"127.0.0.1",NA,NA,0
2018-04-05 12:48:01,27,1024,22,2018-04-05 12:42:36,"192.168.1.102",2018-04-05 12:42:24,9,6,0,3173,181,33376,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:48:01,27,1024,22,2018-04-05 12:42:57,"192.168.1.102",2018-04-05 12:42:44,9,6,0,3173,181,33384,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:48:01,27,1024,22,2018-04-05 12:42:16,"192.168.1.102",2018-04-05 12:42:05,9,6,0,3173,170,33368,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:48:01,27,1024,22,2018-04-05 12:42:32,"192.168.1.100",2018-04-05 12:42:28,9,6,0,2649,176,42211,"192.168.1.108",0,4,15,"127.0.0.1",NA,NA,0
2018-04-05 12:48:01,27,1024,42208,2018-04-05 12:42:14,"192.168.1.108",2018-04-05 12:42:12,9,6,0,2021,170,22,"192.168.1.100",0,4,16,"127.0.0.1",NA,NA,0
2018-04-05 12:48:01,27,1024,33384,2018-04-05 12:42:57,"192.168.1.108",2018-04-05 12:42:44,9,6,0,2310,181,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:48:01,27,1024,22,2018-04-05 12:42:57,"192.168.1.102",2018-04-05 12:42:44,9,6,0,3173,181,33386,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:51:01,27,1024,22,2018-04-05 12:45:04,"192.168.1.102",2018-04-05 12:44:52,9,6,0,3173,245,33438,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
