"_source/host","_source/@timestamp","_source/netflow/in_pkts","_source/netflow/input_snmp","_source/netflow/output_snmp","_source/netflow/l4_dst_port","_source/netflow/in_bytes","_source/netflow/protocol","_source/netflow/version","_source/netflow/flowset_id","_source/netflow/ip_protocol_version","_source/netflow/ipv4_src_addr","_source/netflow/ipv4_dst_addr","_source/netflow/last_switched","_source/netflow/first_switched","_source/netflow/flow_seq_num","_source/netflow/l4_src_port","_source/netflow/tcp_flags","_source/@version","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
"127.0.0.1",2018-04-25 04:54:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.111","239.255.255.250",2018-04-25 04:48:47,2018-04-25 04:48:44,2873,55871,0,1,NA,NA,0
"127.0.0.1",2018-04-25 04:51:01,117,0,0,443,11183,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 04:45:23,2018-04-25 04:45:23,2857,38910,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:01:01,482,0,0,47443,655973,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 04:55:42,2018-04-25 04:55:42,2910,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:01:01,134,0,0,443,12949,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 04:55:42,2018-04-25 04:55:42,2910,47443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:02:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 04:56:44,2018-04-25 04:56:41,2913,48654,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:04:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 04:58:47,2018-04-25 04:58:44,2923,36742,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:06:01,1060,0,0,56530,1442439,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:00:02,2018-04-25 04:59:32,2935,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:01:01,150,0,0,443,14673,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 04:55:13,2018-04-25 04:55:12,2910,41718,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:08:01,385,0,0,39371,522216,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:02:02,2018-04-25 05:02:02,2947,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 04:59:01,290,0,0,443,28784,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 04:53:52,2018-04-25 04:53:22,2905,55973,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:10:01,9,0,0,51940,4477,6,9,1024,4,"162.125.66.3","192.168.1.108",2018-04-25 05:07:45,2018-04-25 04:47:28,2956,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 05:05:01,2,0,0,771,302,1,9,1024,4,"192.168.1.111","8.8.8.8",2018-04-25 04:59:03,2018-04-25 04:55:42,2927,0,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:12:01,2,0,0,5353,280,17,9,1024,4,"192.168.1.104","224.0.0.251",2018-04-25 05:06:14,2018-04-25 05:06:13,2962,5353,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:12:01,2,0,0,5353,320,17,9,2048,6,NA,NA,2018-04-25 05:06:14,2018-04-25 05:06:13,2962,5353,0,1,"fe80::61:8335:2a03:15c3","ff02::fb",0
"127.0.0.1",2018-04-25 05:12:01,1,0,0,547,100,17,9,2048,6,NA,NA,2018-04-25 05:06:15,2018-04-25 05:06:15,2962,546,0,1,"fe80::61:8335:2a03:15c3","ff02::1:2",0
"127.0.0.1",2018-04-25 05:12:01,384,0,0,48737,524247,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:06:32,2018-04-25 05:06:31,2962,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:19:01,1,0,0,123,76,17,9,1024,4,"192.168.1.108","91.189.89.199",2018-04-25 05:13:11,2018-04-25 05:13:11,2995,40707,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:19:01,2,0,0,0,152,58,9,2048,6,NA,NA,2018-04-25 05:13:20,2018-04-25 05:13:18,2995,0,0,1,"fe80::61:8335:2a03:15c3","ff02::16",0
"127.0.0.1",2018-04-25 05:19:01,3,0,0,5353,456,17,9,2048,6,NA,NA,2018-04-25 05:13:19,2018-04-25 05:13:18,2995,5353,0,1,"fe80::61:8335:2a03:15c3","ff02::fb",0
"127.0.0.1",2018-04-25 05:22:01,2,0,0,67,656,17,9,1024,4,"192.168.1.108","192.168.1.1",2018-04-25 05:16:12,2018-04-25 05:14:26,3017,68,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:22:01,4,0,0,1900,1371,17,9,1024,4,"192.168.1.1","239.255.255.250",2018-04-25 05:16:19,2018-04-25 05:16:19,3017,1900,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:22:01,381,0,0,49711,522081,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:16:02,2018-04-25 05:16:02,3017,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:16:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:10:47,2018-04-25 05:10:44,2985,34748,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:16:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.111","239.255.255.250",2018-04-25 05:10:47,2018-04-25 05:10:44,2985,49999,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:21:01,1,0,0,5353,93,17,9,2048,6,NA,NA,2018-04-25 05:15:52,2018-04-25 05:15:52,3012,5353,0,1,"fe80::4749:2e92:9184:47fa","ff02::fb",0
"127.0.0.1",2018-04-25 05:13:01,9,0,0,39258,4278,6,9,1024,4,"162.125.34.137","192.168.1.108",2018-04-25 05:10:16,2018-04-25 04:52:27,2972,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 05:23:01,142,0,0,443,14829,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 05:17:03,2018-04-25 05:16:33,3023,55062,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:18:01,394,0,0,60736,540246,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:12:33,2018-04-25 05:12:33,2989,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:17:01,2,0,0,138,481,17,9,1024,4,"192.168.1.1","192.168.1.255",2018-04-25 05:11:48,2018-04-25 05:11:48,2988,138,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:32:01,368,0,0,42295,503501,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:26:32,2018-04-25 05:26:32,3061,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:32:01,9,0,0,547,900,17,9,2048,6,NA,NA,2018-04-25 05:26:42,2018-04-25 05:22:46,3061,546,0,1,"fe80::61:8335:2a03:15c3","ff02::1:2",0
"127.0.0.1",2018-04-25 05:32:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:26:47,2018-04-25 05:26:44,3061,49831,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:30:01,146,0,0,443,15171,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 05:24:32,2018-04-25 05:24:01,3046,58639,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:30:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:24:44,2018-04-25 05:24:41,3046,52966,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:30:01,963,0,0,58639,1318924,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:24:32,2018-04-25 05:24:01,3046,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:26:01,977,0,0,42543,1338248,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:20:02,2018-04-25 05:19:31,3032,443,0,1,NA,NA,0
